Description model^Car make^Sub category^category path^SKU-CAR^SKU-MODEL^Roof bars mounting^body type^^Bol car models^Variants
RDX I^Acura^RDX I | 2007-2012^Acura[RDX I | 2007-2012^ACU^RX^^suv^^^
HR-V II^Honda^HR-V II | 2015-2021^Honda[HR-V II | 2015-2021^HON^HV^For models without roof rails^suv^^Honda HR-V^
HR-V (RV)^Honda^HR-V (RV) | 2021-present^Honda[HR-V (RV) | 2021-present^HON^HV^For models without roof rails^suv^^Honda HR-V^
Insight II^Honda^Insight II | 2009-2014^Honda[Insight II | 2009-2014^HON^IN^^4d^^Honda Insight^
Integra III^Honda^Integra III | 1994-2001^Honda[Integra III | 1994-2001^HON^IA^^coupé^^Honda^
Jazz I^Honda^Jazz I | 2002-2008^Honda[Jazz I | 2002-2008^HON^JA^^5d^^Honda Jazz^
Jazz II^Honda^Jazz II | 2008-2015^Honda[Jazz II | 2008-2015^HON^JA^^5d^^Honda Jazz^
Jazz III^Honda^Jazz III | 2015-2020^Honda[Jazz III | 2015-2020^HON^JA^^5d^^Honda Jazz^
Jazz IV^Honda^Jazz IV | 2020-present^Honda[Jazz IV | 2020-present^HON^JA^^5d^^Honda Jazz^
Jazz Crosstar IV^Honda^Jazz IV | 2020-present^Honda[Jazz IV | 2020-present^HON^JA^^5d^^Honda Jazz^
Legend^Honda^Legend (KA9) | 1995-2004^Honda[Legend (KA9) | 1995-2004^HON^LE^^4d^^Honda Legend^
Logo^Honda^Logo | 1996-2001^Honda[Logo | 1996-2001^HON^LO^^3d & 5d^^Honda^
NSX^Honda^NSX I | 1990-2005^Honda[NSX I | 1990-2005^HON^NX^^coupé^^Honda^
Prelude III^Honda^Prelude III | 1987-1991^Honda[Prelude III | 1987-1991^HON^PR^^coupé^^Honda Prelude^
Prelude IV^Honda^Prelude IV | 1991-1996^Honda[Prelude IV | 1991-1996^HON^PR^^coupé^^Honda Prelude^
Prelude V^Honda^Prelude V | 1996-2001^Honda[Prelude V | 1996-2001^HON^PR^^coupé^^Honda Prelude^
Prelude (BF1)^Honda^Prelude (BF1) | 2025-present^Honda[Prelude (BF1) | 2025-present^HON^PR^^coupé^^Honda Prelude^
S2000^Honda^S2000 | 1999-2009^Honda[S2000 | 1999-2009^HON^SH^^cabriolet^^Honda S2000^
Shuttle I^Honda^Shuttle I - II | 1995-2003^Honda[Shuttle I - II | 1995-2003^HON^SH^^mpv^^Honda^
Shuttle II^Honda^Shuttle I - II | 1995-2003^Honda[Shuttle I - II | 1995-2003^HON^SH^^mpv^^Honda^
Stream^Honda^Stream I | 2000-2006^Honda[Stream I | 2000-2006^HON^ST^^mpv^^Honda^
ZR-V (RZ)^Honda^ZR-V (RZ) | 2023-present^Honda[ZR-V (RZ) | 2023-present^HON^ZV^^suv^^Honda ZR-V^
H1^Hummer^H1 | 1992-2006^Hummer[H1 | 1992-2006^HUM^H1^^suv^^^
H2^Hummer^H2 | 2003-2010^Hummer[H2 | 2003-2010^HUM^H2^^suv^^Hummer H2^
H3^Hummer^H3 | 2006-2010^Hummer[H3 | 2006-2010^HUM^H3^^suv^^Hummer H3^
Accent I (X3)^Hyundai^Accent I (X3) | 1994-2000^Hyundai[Accent I (X3) | 1994-2000^HYU^AC^^3d & 4d & 5d^^Hyundai Accent^
Accent I (X3) - Excel^Hyundai^Accent I (X3) | 1994-2000^Hyundai[Accent I (X3) | 1994-2000^HYU^AC^^3d & 4d & 5d^^Hyundai Accent^
Accent II (LC)^Hyundai^Accent II (LC) | 2000-2006^Hyundai[Accent II (LC) | 2000-2006^HYU^AC^^3d & 4d & 5d^^Hyundai Accent^
Accent III (MC)^Hyundai^Accent III (MC) | 2006-2010^Hyundai[Accent III (MC) | 2006-2010^HYU^AC^^3d & 4d^^Hyundai Accent^
Accent IV (RB)^Hyundai^Accent IV (RB) | 2010-2017^Hyundai[Accent IV (RB) | 2010-2017^HYU^AC^^4d & 5d^^Hyundai Accent^
Accent V (YC)^Hyundai^Accent V (YC) | 2017-2023^Hyundai[Accent V (YC) | 2017-2023^HYU^AC^^4d^^Hyundai Accent^
Atos^Hyundai^Atos | 1999-2008^Hyundai[Atos | 1999-2008^HYU^AT^For models without roof rails^5d^^Hyundai Atos^
Bayon (BC3 CUV)^Hyundai^Bayon (BC3 CUV) | 2021-present^Hyundai[Bayon (BC3 CUV) | 2021-present^HYU^BA^^suv^^Hyundai Bayon^
Coupé (GK)^Hyundai^Coupé (GK) | 2002-2009^Hyundai[Coupé (GK) | 2002-2009^HYU^CO^^2d^^Hyundai Coupe^
Coupé (J2 - RD)^Hyundai^Coupé (J2 & RD) | 1996-2002^Hyundai[Coupé (J2 & RD) | 1996-2002^HYU^CO^^2d^^Hyundai Coupe^
Coupé (J2 & RD)^Hyundai^Coupé (J2 & RD) | 1996-2002^Hyundai[Coupé (J2 & RD) | 1996-2002^HYU^CO^^2d^^Hyundai Coupe^
Coupé (RD)^Hyundai^Coupé (J2 & RD) | 1996-2002^Hyundai[Coupé (J2 & RD) | 1996-2002^HYU^CO^^2d^^Hyundai Coupe^
Lantra II (J2/RD)^Hyundai^Elantra I & II (J1 & J2) | 1990-2000^Hyundai[Elantra I & II (J1 & J2) | 1990-2000^HYU^EL^^4d & wagon^^Hyundai Elantra^
Elantra I (J1)^Hyundai^Elantra I & II (J1 & J2) | 1990-2000^Hyundai[Elantra I & II (J1 & J2) | 1990-2000^HYU^EL^^4d^^Hyundai Elantra^
Elantra II (J2)^Hyundai^Elantra I & II (J1 & J2) | 1990-2000^Hyundai[Elantra I & II (J1 & J2) | 1990-2000^HYU^EL^^4d & wagon^^Hyundai Elantra^
Elantra III (XD)^Hyundai^Elantra III (XD) | 2000-2006^Hyundai[Elantra III (XD) | 2000-2006^HYU^EL^^4d & 5d^^Hyundai Elantra^
Elantra IV (HD)^Hyundai^Elantra IV (HD) | 2006-2011^Hyundai[Elantra IV (HD) | 2006-2011^HYU^EL^^4d^^Hyundai Elantra^
Elantra V (MD)^Hyundai^Elantra V (MD) | 2011-2015^Hyundai[Elantra V (MD) | 2011-2015^HYU^EL^^4d^^Hyundai Elantra^
Elantra VI (AD)^Hyundai^Elantra VI (AD) | 2015-2020^Hyundai[Elantra VI (AD) | 2015-2020^HYU^EL^^4d^^Hyundai Elantra^
Elantra VII (CN7)^Hyundai^Elantra VII (CN7) | 2020-present^Hyundai[Elantra VII (CN7) | 2020-present^HYU^EL^^4d^^Hyundai Elantra^
Galloper^Hyundai^Galloper | 1991-2003^Hyundai[Galloper | 1991-2003^HYU^GA^^3d & 5d^^^
Genesis Coupé^Hyundai^Genesis Coupé | 2010-2016^Hyundai[Genesis Coupé | 2010-2016^HYU^CO^^2d^^Hyundai Genesis^
Getz^Hyundai^Getz | 2002-2011^Hyundai[Getz | 2002-2011^HYU^GE^Not for Getz Cross^3d & 5d^^Hyundai Getz^
Getz Cross^Hyundai^Getz | 2002-2011^Hyundai[Getz | 2002-2011^HYU^GE^Getz Cross 2006-2008^5d^^Hyundai Getz^
Grand Santa Fe (NC)^Hyundai^Grand Santa Fe (NC) | 2013-2018^Hyundai[Grand Santa Fe (NC) | 2013-2018^HYU^GS^^suv^^Hyundai Santa Fe^
Grandeur (TG)^Hyundai^Grandeur (TG) | 2005-2011^Hyundai[Grandeur (TG) | 2005-2011^HYU^GR^^4d^^^
Grandeur (HG)^Hyundai^Grandeur (TG) | 2011-2017^Hyundai[Grandeur (TG) | 2011-2017^HYU^GR^^4d^^^
H-1^Hyundai^H300 - H-1 | 2008-present^Hyundai[H300 - H-1 | 2008-present^HYU^H3^^van^^^
H-1 / H300^Hyundai^H300 - H-1 | 2008-present^Hyundai[H300 - H-1 | 2008-present^HYU^H3^^van & mpv^^^
H200^Hyundai^H200 - H-1 | 1997-2007^Hyundai[H200 - H-1 | 1997-2007^HYU^H3^^van & mpv^^Hyundai H200 A1^
H200 PowerVan^Hyundai^H200 - H-1 | 1997-2007^Hyundai[H200 - H-1 | 1997-2007^HYU^H3^^van^^Hyundai H200 A1^
H200 PowerVan DC^Hyundai^H200 - H-1 | 1997-2007^Hyundai[H200 - H-1 | 1997-2007^HYU^H3^^van^^Hyundai H200 A1^
H300^Hyundai^H300 - H-1 | 2008-present^Hyundai[H300 - H-1 | 2008-present^HYU^H3^^van & mpv^^Hyundai H300^
H300 DC^Hyundai^H300 - H-1 | 2008-present^Hyundai[H300 - H-1 | 2008-present^HYU^H3^^van^^Hyundai H300^
H350^Hyundai^H350 | 2014-present^Hyundai[H350 | 2014-present^HYU^H5^^van^^Hyundai H350^
i10 (IA-BA)^Hyundai^i10 (IA-BA) | 2013-2019^Hyundai[i10 (IA-BA) | 2013-2019^HYU^I1^^5d^^Hyundai i10^
i10 (LA-AC3)^Hyundai^i10 (LA-AC3) | 2019-present^Hyundai[i10 (LA-AC3) | 2019-present^HYU^I1^^5d^^Hyundai i10^
i10 (PA)^Hyundai^i10 (PA) | 2008-2013^Hyundai[i10 (PA) | 2008-2013^HYU^I1^^5d^^Hyundai i10^
i20 (GB)^Hyundai^i20 (GB) | 2014-2020^Hyundai[i20 (GB) | 2014-2020^HYU^I2^Mounting on fixed mounting points^3d & 5d^^Hyundai i20^
i20 (GB) Active^Hyundai^i20 (GB) | 2014-2020^Hyundai[i20 (GB) | 2014-2020^HYU^I2^Mounting on fixed mounting points^5d^^Hyundai i20^
i20 (GB) Coupé^Hyundai^i20 (GB) | 2014-2020^Hyundai[i20 (GB) | 2014-2020^HYU^I2^Mounting on fixed mounting points^2d^^Hyundai i20^
i20 (PB)^Hyundai^i20 (PB) | 2009-2014^Hyundai[i20 (PB) | 2009-2014^HYU^I2^^3d & 5d^^Hyundai i20^
i20 (BC3)^Hyundai^i20 (BC3) | 2020-present^Hyundai[i20 (BC3) | 2020-present^HYU^I2^^5d^^Hyundai i20^
i30 (FD)^Hyundai^i30 (FD-FDH) | 2007-2012^Hyundai[i30 (FD-FDH) | 2007-2012^HYU^I3^^5d^^Hyundai i30^
i30 (FD-FDH)^Hyundai^i30 (FD-FDH) | 2007-2012^Hyundai[i30 (FD-FDH) | 2007-2012^HYU^I3^^wagon^^Hyundai i30^
i30 (GD)^Hyundai^i30 (GD) | 2012-2017^Hyundai[i30 (GD) | 2012-2017^HYU^I3^^5d & wagon^^Hyundai i30^
i30 (PD)^Hyundai^i30 (PD) | 2017-present^Hyundai[i30 (PD) | 2017-present^HYU^I3^For models without roof rails; Mounting on fixed mounting points; Not for models with sunroof^5d & wagon^^Hyundai i30^
i30 CW (FD-FDH)^Hyundai^i30 (FD-FDH) | 2007-2012^Hyundai[i30 (FD-FDH) | 2007-2012^HYU^I3^^wagon^^Hyundai i30^
i30 Coupé (GD)^Hyundai^i30 (GD) | 2012-2017^Hyundai[i30 (GD) | 2012-2017^HYU^I3^^3d^^Hyundai i30^
i30 CW (GD)^Hyundai^i30 (GD) | 2012-2017^Hyundai[i30 (GD) | 2012-2017^HYU^I3^^wagon^^Hyundai i30^
i30 CW (PD)^Hyundai^i30 (PD) | 2017-present^Hyundai[i30 (PD) | 2017-present^HYU^I3^^wagon^^Hyundai i30^
i30 Fastback (PD)^Hyundai^i30 (PD) | 2017-present^Hyundai[i30 (PD) | 2017-present^HYU^I3^Mounting on fixed mounting points; Not for models with sunroof^4d^^Hyundai i30^
i30 SW (GD)^Hyundai^i30 (GD) | 2012-2017^Hyundai[i30 (GD) | 2012-2017^HYU^I3^^wagon^^Hyundai i30^
i40^Hyundai^i40 | 2011-2019^Hyundai[i40 | 2011-2019^HYU^I4^^4d & wagon^^Hyundai i40^
i40 CW^Hyundai^i40 | 2011-2019^Hyundai[i40 | 2011-2019^HYU^I4^^wagon^^Hyundai i40^
Inster (AX1 EV)^Hyundai^Inster (AX1 EV) | 2024-present^Hyundai[Inster (AX1 EV) | 2024-present^HYU^IN^^5d^^^
Ioniq^Hyundai^Ioniq | 2016-2022^Hyundai[Ioniq | 2016-2022^HYU^IO^^5d^^Hyuandai Ioniq^
Ioniq 5 (NE)^Hyundai^Ioniq 5 (NE) | 2021-present^Hyundai[Ioniq 5 (NE) | 2021-present^HYU^I5^^suv^^Hyundai Ioniq 5^
Ioniq 6 (CE)^Hyundai^Ioniq 6 (CE) | 2022-present^Hyundai[Ioniq 6 (CE) | 2022-present^HYU^I6^^4d^^Hyundai Ioniq 6^
Ioniq 9^Hyundai^Ioniq 9 | 2025-present^Hyundai[Ioniq 9 | 2025-present^HYU^I9^^suv^^Hyuandai Ioniq^
ix20^Hyundai^ix20 | 2010-2019^Hyundai[ix20 | 2010-2019^HYU^X2^For models without roof rails^mpv^^Hyundai ix20^
ix35^Hyundai^ix35 | 2010-2015^Hyundai[ix35 | 2010-2015^HYU^X3^^suv^^Hyundai ix35^
ix35 (LM)^Hyundai^ix35 | 2010-2015^Hyundai[ix35 | 2010-2015^HYU^X3^^suv^^Hyundai ix35^
ix55^Hyundai^ix55 | 2009-2011^Hyundai[ix55 | 2009-2011^HYU^X5^^suv^^Hyundai ix55^
Kona (OS)^Hyundai^Kona (OS) | 2017-2022^Hyundai[Kona (OS) | 2017-2022^HYU^KO^For models without roof rails^suv^^Hyundai Kona^
Kona (SX2)^Hyundai^Kona (SX2) | 2023-present^Hyundai[Kona (SX2) | 2023-present^HYU^KO^^suv^^Hyundai Kona^
Matrix^Hyundai^Matrix | 2001-2009^Hyundai[Matrix | 2001-2009^HYU^MA^For models without roof rails^mpv^^^
Nexo^Hyundai^Nexo | 2018-present^Hyundai[Nexo | 2018-present^HYU^NE^^suv^^Hyundai Nexo^
Pony III (X2)^Hyundai^Pony III (X1-X2) | 1985-1994^Hyundai[Pony III (X1-X2) | 1985-1994^HYU^PO^^4d & 5d & wagon^^^
Santa Fe (CM)^Hyundai^Santa Fe (CM) | 2006-2012^Hyundai[Santa Fe (CM) | 2006-2012^HYU^SF^^suv^^Hyundai Santa Fe^
Santa Fe (DM)^Hyundai^Santa Fe (DM) | 2012-2018^Hyundai[Santa Fe (DM) | 2012-2018^HYU^SF^For models without roof rails^suv^^Hyundai Santa Fe^
Santa Fe (SM)^Hyundai^Santa Fe (SM) | 2000-2006^Hyundai[Santa Fe (SM) | 2000-2006^HYU^SF^^suv^^Hyundai Santa Fe^
Santa Fe (TM)^Hyundai^Santa Fe (TM) | 2018-2024^Hyundai[Santa Fe (TM) | 2018-2024^HYU^SF^^suv^^Hyundai Santa Fe^
Santa Fe (MX5)^Hyundai^Santa Fe (MX5) | 2024-present^Hyundai[Santa Fe (MX5) | 2024-present^HYU^SF^^suv^^Hyundai Santa Fe^
Scoupe^Hyundai^Scoupe | 1988-1995^Hyundai[Scoupe | 1988-1995^HYU^SC^^coupé^^^
Sonata (EF - EF-B)^Hyundai^Sonata (EF - EF-B) | 1998-2005^Hyundai[Sonata (EF - EF-B) | 1998-2005^HYU^SO^^4d^^Hyundai Sonata^
Sonata (EF)^Hyundai^Sonata (EF - EF-B) | 1998-2005^Hyundai[Sonata (EF - EF-B) | 1998-2005^HYU^SO^^4d^^Hyundai Sonata^
Sonata (EF-B)^Hyundai^Sonata (EF - EF-B) | 1998-2005^Hyundai[Sonata (EF - EF-B) | 1998-2005^HYU^SO^^4d^^Hyundai Sonata^
Sonata (LFA)^Hyundai^Sonata (LFA) | 2014-present^Hyundai[Sonata (LFA) | 2014-present^HYU^SO^^4d^^Hyundai Sonata^
Sonata (NF)^Hyundai^Sonata (NF) | 2005-2009^Hyundai[Sonata (NF) | 2005-2009^HYU^SO^^4d^^Hyundai Sonata^
Sonata (Y3)^Hyundai^Sonata (Y3) | 1993-1998^Hyundai[Sonata (Y3) | 1993-1998^HYU^SO^^4d^^Hyundai Sonata^
Sonata (YF)^Hyundai^Sonata (YF) | 2009-2014^Hyundai[Sonata (YF) | 2009-2014^HYU^SO^^4d^^Hyundai Sonata^
Staria (US4)^Hyundai^Staria (US4) | 2021-present^Hyundai[Staria (US4) | 2021-present^HYU^ST^^van & mpv^^Hyundai Staria^
Terracan^Hyundai^Terracan | 2001-2007^Hyundai[Terracan | 2001-2007^HYU^TE^^suv^^Hyundai Terracan^
Trajet - Highway Van^Hyundai^Trajet - Highway Van | 1999-2008^Hyundai[Trajet - Highway Van | 1999-2008^HYU^TR^^mpv^^Hyundai Trajet^
Tucson^Hyundai^Tucson | 2004-2009^Hyundai[Tucson | 2004-2009^HYU^TU^^suv^^Hyundai Tucson^
Tucson (TL)^Hyundai^Tucson (TL) | 2015-2020^Hyundai[Tucson (TL) | 2015-2020^HYU^TU^For models without roof rails^suv^^Hyundai Tucson^
Tucson (NX4)^Hyundai^Tucson (NX4) | 2020-present^Hyundai[Tucson (NX4) | 2020-present^HYU^TU^For models without roof rails^suv^^Hyundai Tucson^
Veloster^Hyundai^Veloster | 2011-2018^Hyundai[Veloster | 2011-2018^HYU^VE^^coupé^^Hyundai Veloster^
XG^Hyundai^XG | 1998-2005^Hyundai[XG | 1998-2005^HYU^XG^^truck^^^
K3^ICH-X^K3 | 2024-present^ICH-X[K3 | 2024-present^IC^K3^^suv^^^
Grenadier^INEOS^Grenadier | 2022-present^INEOS[Grenadier | 2022-present^INE^GR^^suv^^^
EX (J50)^Infiniti^EX (J50) | 2009-2013^Infiniti[EX (J50) | 2009-2013^INF^EX^^suv^^^
EX37 (J50)^Infiniti^EX (J50) | 2009-2013^Infiniti[EX (J50) | 2009-2013^INF^EX^^suv^^^
FX - QX70 (S51)^Infiniti^FX - QX70 (S51) | 2008-2017^Infiniti[FX - QX70 (S51) | 2008-2017^INF^FX^^suv^^^
FX (S50)^Infiniti^FX (S50) | 2003-2008^Infiniti[FX (S50) | 2003-2008^INF^FX^^suv^^^
FX (S51)^Infiniti^FX - QX70 (S51) | 2008-2017^Infiniti[FX - QX70 (S51) | 2008-2017^INF^FX^^suv^^^
G20 II (P11)^Infiniti^G20 II (P11) | 1998-2002^Infiniti[G20 II (P11) | 1998-2002^INF^G2^^4d^^^
G37 (V36)^Infiniti^G37 (V36) | 2009-2013^Infiniti[G37 (V36) | 2009-2013^INF^G3^^cabriolet^^^
G37 Coupé (V36)^Infiniti^G37 (V36) | 2009-2013^Infiniti[G37 (V36) | 2009-2013^INF^G3^^2d^^^
Q30^Infiniti^Q30 | 2015-present^Infiniti[Q30 | 2015-present^INF^Q3^Mounting on fixed mounting points^5d^^^
Q50^Infiniti^Q50 | 2013-2024^Infiniti[Q50 | 2013-2024^INF^Q5^For models without roof rails^suv^^Infiniti Q50^
Q70^Infiniti^Q70 | 2013-present^Infiniti[Q70 | 2013-present^INF^Q7^^4d^^^
QX30^Infiniti^QX30 | 2016-present^Infiniti[QX30 | 2016-present^INF^X3^For models without roof rails; Mounting on fixed mounting points^suv^^^
QX50^Infiniti^QX50 | 2013-2018^Infiniti[QX50 | 2013-2018^INF^X5^^suv^^^
QX70 (S51)^Infiniti^FX - QX70 (S51) | 2008-2017^Infiniti[FX - QX70 (S51) | 2008-2017^INF^Q7^^suv^^Infiniti QX70^
Elba (146)^Innocenti^Elba (146) | 1991-1997^Innocenti[Elba (146) | 1991-1997^INN^EL^^wagon^^^
D-Max I^Isuzu^D-Max I | 2002-2012^Isuzu[D-Max I | 2002-2012^ISU^DM^^pickup^^Isuzu D-Max^
D-Max II^Isuzu^D-Max II | 2012-2019^Isuzu[D-Max II | 2012-2019^ISU^DM^^pickup^^Isuzu D-Max^
D-Max III (RG01)^Isuzu^D-Max III (RG01) | 2019-present^Isuzu[D-Max III (RG01) | 2019-present^ISU^DM^^pickup^^Isuzu D-Max^
NKR^Isuzu^N-Series | 1993-present^Isuzu[N-Series | 1993-present^ISU^NS^^truck^^^
NPR^Isuzu^N-Series | 1993-present^Isuzu[N-Series | 1993-present^ISU^NS^^truck^^^
NQR^Isuzu^N-Series | 1993-present^Isuzu[N-Series | 1993-present^ISU^NS^^truck^^^
NLR^Isuzu^N-Series | 1993-present^Isuzu[N-Series | 1993-present^ISU^NS^^truck^^^
Rodeo^Isuzu^Rodeo | 2006-present^Isuzu[Rodeo | 2006-present^ISU^RO^^pickup^^^
Trooper I^Isuzu^Trooper I | 1981-1991^Isuzu[Trooper I | 1981-1991^ISU^TR^^5d^^^
Trooper II^Isuzu^Trooper II | 1991-2002^Isuzu[Trooper II | 1991-2002^ISU^TR^^suv^^^
Daily III^Iveco^Daily III | 1999-2006^Iveco[Daily III | 1999-2006^IVE^DA^^van^^Iveco Daily^
Daily IV^Iveco^Daily IV | 2006-2011^Iveco[Daily IV | 2006-2011^IVE^DA^^van & mpv^^Iveco Daily^
Daily V^Iveco^Daily V | 2011-2014^Iveco[Daily V | 2011-2014^IVE^DA^^van^^Iveco Daily^
Daily VI^Iveco^Daily VI | 2014-present^Iveco[Daily VI | 2014-present^IVE^DA^^van^^Iveco Daily^
eJolly^Iveco^eJolly | 2025-present^Iveco[eJolly | 2025-present^IVE^EJ^^van^^^
Eurocargo I^Iveco^Eurocargo I | 1991-2003^Iveco[Eurocargo I | 1991-2003^IVE^EU^^truck^^^
Eurocargo II^Iveco^Eurocargo II | 2003-2008^Iveco[Eurocargo II | 2003-2008^IVE^EU^^truck^^^
Eurocargo III^Iveco^Eurocargo III | 2008-2015^Iveco[Eurocargo III | 2008-2015^IVE^EU^^truck^^^
Eurocargo IV^Iveco^Eurocargo IV | 2015-present^Iveco[Eurocargo IV | 2015-present^IVE^EU^^truck^^^
Eurocargo (I-IV)^Iveco^Eurocargo (I-IV) | 1991-present^Iveco[Eurocargo (I-IV) | 1991-present^IVE^EU^^truck^^^
EuroStar^Iveco^EuroStar | 1993-2002^Iveco[EuroStar | 1993-2002^IVE^EU^^truck^^^
EuroTech^Iveco^EuroTech | 1992-2002^Iveco[EuroTech | 1992-2002^IVE^EU^^truck^^^
S-Way^Iveco^S-Way | 2019-present^Iveco[S-Way | 2019-present^IVE^SW^^truck^^Iveco S-Way^
Stralis^Iveco^Stralis | 2002-2019^Iveco[Stralis | 2002-2019^IVE^ST^^truck^^^
Trakker^Iveco^Trakker | 2002-present^Iveco[Trakker | 2002-present^IVE^TR^^truck^^^
E-Pace^Jaguar^E-Pace | 2017-present^Jaguar[E-Pace | 2017-present^JAG^EP^For models without roof rails^suv^^Jaguar E-PACE^
E-Type - XK-E - V12^Jaguar^E-Type - XK-E - E V12 | 1961-1970^Jaguar[E-Type - XK-E - E V12 | 1961-1970^JAG^ET^^cabriolet^^^
E-Type (Serie 3)^Jaguar^E-Type (Serie 3) | 1971-1975^Jaguar[E-Type (Serie 3) | 1971-1975^JAG^ET^^cabriolet^^^
F-Pace^Jaguar^F-Pace | 2016-present^Jaguar[F-Pace | 2016-present^JAG^FP^For models without roof rails^suv^^Jaguar F-PACE^
F-Type (X152)^Jaguar^F-Type | 2013-present^Jaguar[F-Type | 2013-present^JAG^FT^^coupé & cabriolet^^Jaguar F-Type^
F-Type Cabriolet (X152)^Jaguar^F-Type | 2013-present^Jaguar[F-Type | 2013-present^JAG^FT^^2d^^Jaguar F-Type^
F-Type Coupé (X152)^Jaguar^F-Type | 2013-present^Jaguar[F-Type | 2013-present^JAG^FT^^2d^^Jaguar F-Type^
I-Pace^Jaguar^I-Pace | 2018-present^Jaguar[I-Pace | 2018-present^JAG^IP^^suv^^Jaguar I-Pace^
S-Type^Jaguar^S-Type | 1999-2008^Jaguar[S-Type | 1999-2008^JAG^ST^^4d^^Jaguar S-Type^
XE (X760)^Jaguar^XE (X760) | 2015-present^Jaguar[XE (X760) | 2015-present^JAG^XE^^4d^^Jaguar XE^
XF (X250)^Jaguar^XF (X250) | 2008-2015^Jaguar[XF (X250) | 2008-2015^JAG^XF^^4d^^Jaguar XF^
XF (X250) Sportbrake^Jaguar^XF (X250) | 2008-2015^Jaguar[XF (X250) | 2008-2015^JAG^XF^^wagon^^Jaguar XF^
XF (X260)^Jaguar^XF (X260) | 2015-present^Jaguar[XF (X260) | 2015-present^JAG^XF^^4d^^Jaguar XF^
XF Sportbrake (X260)^Jaguar^XF (X260) | 2015-present^Jaguar[XF (X260) | 2015-present^JAG^XF^^wagon^^Jaguar XF^
XJ (X308)^Jaguar^XJ (X308) | 1997-2003^Jaguar[XJ (X308) | 1997-2003^JAG^XJ^^4d^^Jaguar XJ^
XJ (X350)^Jaguar^XJ (X350) | 2003-2009^Jaguar[XJ (X350) | 2003-2009^JAG^XJ^^4d^^Jaguar XJ^
XJ (X351)^Jaguar^XJ (X351) | 2009-present^Jaguar[XJ (X351) | 2009-present^JAG^XJ^^4d^^Jaguar XJ^
XJ SWB (X308)^Jaguar^XJ (X308) | 1997-2003^Jaguar[XJ (X308) | 1997-2003^JAG^XJ^^4d^^Jaguar XJ^
XJS (X27)^Jaguar^XJS (X27) | 1991-1996^Jaguar[XJS (X27) | 1991-1996^JAG^XJS^^cabriolet^^Jaguar XJ^
XK - XKR (X100)^Jaguar^XK (X100) | 1996-2006^Jaguar[XK (X100) | 1996-2006^JAG^XK^^cabriolet^^Jaguar XK^
XK - XKR (X150)^Jaguar^XK (X150) | 2006-2014^Jaguar[XK (X150) | 2006-2014^JAG^XK^^cabriolet^^Jaguar XK^
XK Convertible (X100)^Jaguar^XK (X100) | 1996-2006^Jaguar[XK (X100) | 1996-2006^JAG^XK^^2d^^Jaguar XK^
XK Coupé (X100)^Jaguar^XK (X100) | 1996-2006^Jaguar[XK (X100) | 1996-2006^JAG^XK^^2d^^Jaguar XK^
XK Coupé (X150)^Jaguar^XK (X150) | 2006-2014^Jaguar[XK (X150) | 2006-2014^JAG^XK^^2d^^Jaguar XK^
X-Type^Jaguar^X-Type | 2001-2009^Jaguar[X-Type | 2001-2009^JAG^XT^^4d^^Jaguar X-Type^
X-Type Estate^Jaguar^X-Type Estate | 2001-2009^Jaguar[X-Type Estate | 2001-2009^JAG^XT^^wagon^^Jaguar X-Type^
Avenger^Jeep^Avenger | 2023-present^Jeep[Avenger | 2023-present^JEE^AV^^suv^^Jeep Avenger^
Cherokee II (XJ)^Jeep^Cherokee II (XJ) | 1984-2001^Jeep[Cherokee II (XJ) | 1984-2001^JEE^CH^^suv^^Jeep Cherokee^
Cherokee III (KJ)^Jeep^Cherokee III (KJ) | 2001-2008^Jeep[Cherokee III (KJ) | 2001-2008^JEE^CH^^suv^^Jeep Cherokee KJ^
Cherokee IV - Liberty II (KK)^Jeep^Cherokee IV (KK) | 2008-2013^Jeep[Cherokee IV (KK) | 2008-2013^JEE^CH^^suv^^Jeep Cherokee^
Cherokee IV (KK)^Jeep^Cherokee IV (KK) | 2008-2013^Jeep[Cherokee IV (KK) | 2008-2013^JEE^CH^^suv^^Jeep Cherokee^
Cherokee V (KL)^Jeep^Cherokee V (KL) | 2014-2023^Jeep[Cherokee V (KL) | 2014-2023^JEE^CH^For models without roof rails^suv^^Jeep Cherokee^
Commander^Jeep^Commander | 2006-2010^Jeep[Commander | 2006-2010^JEE^CM^^suv^^^
Compass (MK49)^Jeep^Compass (MK49) | 2006-2017^Jeep[Compass (MK49) | 2006-2017^JEE^CO^^suv^^Jeep Compass^
Compass (MK49) - Patriot (MK74)^Jeep^Compass (MK49) | 2006-2017{Jeep[Patriot (MK74) | 2006-2017^Jeep[Compass (MK49) | 2006-2017{Jeep[Patriot (MK74) | 2006-2017^JEE^CO^^suv^^Jeep Compass^
Compass (MP)^Jeep^Compass (MP) | 2017-present^Jeep[Compass (MP) | 2017-present^JEE^CO^For models without roof rails^suv^^Jeep Compass^
Compass (J4U)^Jeep^Compass (J4U) | 2025-present^Jeep[Compass (J4U) | 2025-present^JEE^CO^For models without roof rails^suv^^Jeep Compass^
Grand Cherokee I (ZJ)^Jeep^Grand Cherokee I (ZJ) | 1993-1998^Jeep[Grand Cherokee I (ZJ) | 1993-1998^JEE^GR^^suv^^Jeep Grand Cherokee^
